                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8957,                 3.4601,                 1.7682,                0.30557,                0.39221,                0.27697,                0.10985,                    nan,                    nan,                    nan,             0.00036996,             0.00036996,             0.00036996
                      2,                 1.9049,                  2.843,                  1.803,                0.31992,                0.49449,                0.33645,                0.13791,                    nan,                    nan,                    nan,             0.00071586,             0.00071586,             0.00071586
                      3,                 1.9284,                 2.5654,                 1.8415,                0.37201,                0.50387,                0.40585,                0.18098,                    nan,                    nan,                    nan,              0.0010373,              0.0010373,              0.0010373
                      4,                 1.9331,                 2.4039,                 1.8085,                 0.3788,                 0.4998,                 0.4123,                 0.1854,                    nan,                    nan,                    nan,               0.001001,               0.001001,               0.001001
                      5,                  1.906,                 2.2312,                 1.8036,                0.41593,                0.57655,                0.45521,                0.19845,                    nan,                    nan,                    nan,             0.00096435,             0.00096435,             0.00096435
                      6,                 1.8564,                 2.0866,                  1.769,                0.44869,                 0.5149,                0.49235,                0.21096,                    nan,                    nan,                    nan,             0.00092769,             0.00092769,             0.00092769
                      7,                 1.8493,                 1.9834,                 1.7611,                0.41489,                0.56643,                0.52104,                0.23934,                    nan,                    nan,                    nan,             0.00089102,             0.00089102,             0.00089102
                      8,                 1.8265,                 1.8852,                  1.739,                0.50917,                0.54893,                0.50761,                 0.2323,                    nan,                    nan,                    nan,             0.00085436,             0.00085436,             0.00085436
                      9,                 1.7795,                 1.8463,                 1.7152,                0.49631,                0.56472,                0.54445,                0.25951,                    nan,                    nan,                    nan,              0.0008177,              0.0008177,              0.0008177
                     10,                 1.7655,                 1.7879,                 1.7157,                0.56918,                 0.6475,                0.62625,                0.31504,                    nan,                    nan,                    nan,             0.00078103,             0.00078103,             0.00078103
                     11,                  1.763,                 1.7317,                 1.7082,                0.58039,                0.55203,                0.60644,                0.28521,                    nan,                    nan,                    nan,             0.00074437,             0.00074437,             0.00074437
                     12,                 1.7621,                 1.6983,                 1.6954,                0.52934,                0.64534,                0.61604,                0.30913,                    nan,                    nan,                    nan,             0.00070771,             0.00070771,             0.00070771
                     13,                 1.7205,                 1.6462,                 1.6657,                0.60208,                0.64739,                 0.6378,                0.30699,                    nan,                    nan,                    nan,             0.00067104,             0.00067104,             0.00067104
                     14,                 1.7302,                  1.588,                 1.6536,                 0.5928,                0.59494,                0.59837,                0.30394,                    nan,                    nan,                    nan,             0.00063438,             0.00063438,             0.00063438
                     15,                 1.6794,                 1.6008,                 1.6342,                0.59582,                0.65699,                0.64138,                0.31492,                    nan,                    nan,                    nan,             0.00059772,             0.00059772,             0.00059772
                     16,                 1.6776,                 1.5298,                 1.6538,                0.67162,                0.61712,                0.64267,                0.31883,                    nan,                    nan,                    nan,             0.00056105,             0.00056105,             0.00056105
                     17,                 1.6346,                 1.4741,                 1.6255,                0.58038,                0.63293,                0.62954,                  0.321,                    nan,                    nan,                    nan,             0.00052439,             0.00052439,             0.00052439
                     18,                 1.6356,                 1.4565,                  1.601,                0.62103,                0.66733,                0.66809,                0.35647,                    nan,                    nan,                    nan,             0.00048773,             0.00048773,             0.00048773
                     19,                 1.6406,                 1.4144,                 1.5864,                0.64482,                0.66045,                0.64681,                0.33077,                    nan,                    nan,                    nan,             0.00045107,             0.00045107,             0.00045107
                     20,                 1.5948,                 1.3899,                 1.5758,                0.60797,                 0.6446,                0.62416,                0.31933,                    nan,                    nan,                    nan,              0.0004144,              0.0004144,              0.0004144
                     21,                 1.5659,                 1.2257,                  1.605,                0.64101,                0.64644,                0.64029,                0.33119,                    nan,                    nan,                    nan,             0.00037774,             0.00037774,             0.00037774
                     22,                 1.5242,                 1.1565,                 1.5916,                0.64255,                0.66732,                0.66422,                0.33901,                    nan,                    nan,                    nan,             0.00034108,             0.00034108,             0.00034108
                     23,                 1.5032,                 1.1122,                 1.5575,                0.67227,                0.65516,                0.65451,                0.34126,                    nan,                    nan,                    nan,             0.00030441,             0.00030441,             0.00030441
                     24,                 1.4949,                 1.0964,                 1.5629,                0.65842,                0.66908,                0.65596,                0.33937,                    nan,                    nan,                    nan,             0.00026775,             0.00026775,             0.00026775
                     25,                 1.4568,                 1.0612,                 1.5167,                 0.7018,                0.68615,                   0.67,                0.34952,                    nan,                    nan,                    nan,             0.00023109,             0.00023109,             0.00023109
                     26,                 1.4484,                 1.0411,                 1.5079,                0.69279,                0.68472,                0.68146,                0.36067,                    nan,                    nan,                    nan,             0.00019442,             0.00019442,             0.00019442
                     27,                 1.4169,                 1.0149,                 1.4844,                0.67796,                0.67614,                0.67519,                0.36377,                    nan,                    nan,                    nan,             0.00015776,             0.00015776,             0.00015776
                     28,                 1.4179,                0.99035,                 1.4726,                0.69169,                0.65357,                0.65919,                0.35123,                    nan,                    nan,                    nan,              0.0001211,              0.0001211,              0.0001211
                     29,                 1.4029,                0.97392,                 1.4688,                0.68785,                0.68317,                0.68009,                0.36707,                    nan,                    nan,                    nan,             8.4436e-05,             8.4436e-05,             8.4436e-05
                     30,                 1.3702,                0.94364,                 1.4549,                0.67995,                0.65892,                0.67173,                0.36417,                    nan,                    nan,                    nan,             4.7773e-05,             4.7773e-05,             4.7773e-05
